Customer Name,Plant,Target Quantity,Distance,Freight Rate,Amount
SUPER GRANITES - JEEDIMETLA,GIR, 200 ,52.788,2.9," 30,617.04 "
MANJU MYTHRI INFRA - KOLLUR,LKDRM2, 250 ,45.026,2.5," 28,141.25 "
MANJU MYTHRI INFRA - KOLLUR,LKDRM2, 150 ,45.026,2.5," 16,884.75 "
G SURESH KUMAR - KOTHAPET,RSDSH, 60 ,52.228,2.5," 7,834.20 "
BOORUGU INFRA PROJECTS PRIVATE LIMITED - ERRAMAZIL,RSDSH, 200 ,82.714,2.5," 41,357.00 "
CMG BUILDERS - OSMANNAGAR,GIR, 100 ,95.928,2.9," 27,819.12 "
CMG BUILDERS - OSMANNAGAR,SLKPY, 60 ,54.33,2.5," 8,149.50 "
SHREE ANURAG PROJECTS - THUMKUNTA,GIR, 100 ,51.158,2.9," 14,835.82 "
SHREE ANURAG PROJECTS - THUMKUNTA,GIR II, 100 ,51.434,2.9," 14,915.86 "
LISBON CONSTRUCTION CHEMICALS - KATEDAN,RSDSH, 30 ,94.126,2.5," 7,059.45 "
PRAGATHI INFRA - PRAGATHI NAGAR,GIR, 100 ,43.108,2.9," 12,501.32 "
GT INFRA PROJECTS PVT LTD - PATANCHERUVU,GIR, 50 ,63.798,2.9," 9,250.71 "
GT INFRA PROJECTS PVT LTD - PATANCHERUVU,SLKPY, 200 ,22.88,100," 20,000.00 "
GT INFRA PROJECTS PVT LTD - PATANCHERUVU,SLKPY, 120 ,22.88,100," 12,000.00 "
GT INFRA PROJECTS PVT LTD - PATANCHERUVU,SLKPY, 60 ,22.88,100," 6,000.00 "
SURABHI ESTATES PVT LTD,LKDRM2, 35 ,57.442,2.5," 5,026.17 "
EMPIRE MEADOWS PVT LTD - BACHUPALLI,GIR, 50 ,53.27,2.9," 7,724.15 "
FRONTLINE BUIDERS - GANDIPET,GIR, 100 ,96.894,2.9," 28,099.26 "
PINNACALE INFRATECH - KONDAPUR,GIR, 50 ,70.512,2.9," 10,224.24 "
SHREE VENKATESHWARA AMUSEMENTS,GIR, 60 ,84.32,2.9," 14,671.68 "
SHREE VENKATESHWARA AMUSEMENTS,SLKPY, 120 ,67.92,2.5," 20,376.00 "
SHREE VENKATESHWARA AMUSEMENTS,LKDRM2, 30 ,70.448,2.5," 5,283.60 "
SHREE VENKATESHWARA AMUSEMENTS,LKDRM2, 30 ,70.448,2.5," 5,283.60 "
J L SATHGURU DEVELOPERS AND CONSTRUCTIONS,RSDSH, 60 ,65.344,2.5," 9,801.60 "
RNG INFRA - BOWRAMPET,GIR, 300 ,32.432,2.9," 28,215.84 "
P JANGA REDDY - DHANDAMUDI ENCLAVE,GIR II, 50 ,40.382,2.9," 5,855.39 "
SBSV INFRA - BEERAMGUDA ROAD RC PURAM,LKDRM2, 35 ,38.154,100," 3,500.00 "
GUNJI SRINIVAS - MUNUGANUR,RSDSH, 60 ,50.856,2.5," 7,628.40 "
